name,description,quantity,price,category_name,image_url
Apple iPhone 14,Latest Apple iPhone 14 model,15,79999,Smartphones,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-14-pro-max-deep-purple-select?wid=940&hei=1112&fmt=png-alpha&.v=1660753619946
Samsung Galaxy S23,Newest Samsung flagship phone,20,74999,Smartphones,https://images.samsung.com/is/image/samsung/p6pim/in/sm-s911ezkginu/gallery/in-galaxy-s23-s911-agle-530895069
Sony WH-1000XM5,Noise cancelling headphones,30,29999,Headphones,https://m.media-amazon.com/images/I/71o8Q5XJS5L._SL1500_.jpg
Logitech MX Master 3,Advanced wireless mouse,50,8500,Electronics,https://resource.logitech.com/content/dam/logitech/en/products/mice/mx-master-3/gallery/mx-master-3-top-view.png
Dell XPS 13,Laptop with Intel processor,12,99999,Laptops,https://i.dell.com/sites/csimages/Video_Imagery/all/xps-13-9305-laptop-laptop-front.png
HP Envy 15,Powerful laptop for creators,10,119999,Laptops,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c06686551.png
The Great Gatsby,Famous classic novel,100,400,Books - Fiction,https://images-na.ssl-images-amazon.com/images/I/81af+MCATTL.jpg
Kindle Paperwhite,Amazon e-reader device,40,12999,Books,https://images-na.ssl-images-amazon.com/images/I/61T5l3HLxoL._AC_SL1000_.jpg
Nike Air Max 270,Sports running shoes,25,12000,Sportswear,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7cf2140e-ee94-4a68-8f08-d87c1af68227/air-max-270-mens-shoe-KkLcGR.png
Adidas Ultraboost 22,Comfortable running shoes,18,14000,Sportswear,https://assets.adidas.com/images/w_600,f_auto,q_auto/f77279526165473287e5aadf00ca3b89_9366/Ultraboost_22_Shoes_Black_GX6829_01_standard.jpg
Instant Pot Duo,Multi-use pressure cooker,35,9000,Kitchen Appliances,https://instantpot.com/wp-content/uploads/2020/10/D07PC_127_main.png
Samsung QLED TV,4K UHD Smart TV,15,55000,Video Equipment,https://images.samsung.com/is/image/samsung/in-qled-q80b-series-qn55q80bafxza-frontblack-530876963?$720_576_PNG$
Dyson V11 Vacuum,Powerful cordless vacuum,10,45000,Home Appliances,https://cdn.dyson.com/content/dam/dyson/images/products/cordless/v11/v11-operating-mode-vacuum/V11-Detangling-Throat-Turquoise.png
GoPro HERO11,Action camera,25,35000,Cameras,https://gopro.com/content/dam/gopro/site/common/manuals/digital-assets/plugins/landscape-hero11-black.png
Fujifilm X-T4,Mirrorless camera,8,100000,Cameras,https://fujifilm-x.com/wp-content/uploads/2020/03/xt4_product_photo_black-1.png
Herman Miller Aeron,Ergonomic office chair,10,85000,Furniture,https://www.hermanmiller.com/content/dam/hermanmiller/product_images/aeron_chair/ar_medium_mk3_blk_fitz_aeron_va_lg.jpg
Ikea MALM Bed,Simple modern bed frame,20,12000,Furniture,https://www.ikea.com/in/en/images/products/malm-bed-frame__0737172_pe741012_s5.jpg
Fitbit Charge 5,Health tracking wristband,30,9000,Smart Watches,https://static-www.fitbit.com/content/assets/charge5_hero.png
Garmin Forerunner 945,GPS running watch,15,50000,Smart Watches,https://static.garmincdn.com/en/products/010-02063-10/v/cf-lg.jpg
Canon EOS Rebel,DSLR camera,12,65000,Cameras,https://cdn-ssl.camerasource.com/media/custompage/images/387989/canon-eos-rebel-t6i-dslr-camera-with-18-55mm-lens.jpg
Seagate Backup Plus,External hard drive 2TB,40,6000,Computers,https://www.seagate.com/www-content/product-content/backup-plus/backup-plus-hub-v2/gallery/backupplus_2tb_hub.jpg
Apple Watch Series 8,Latest smartwatch,25,45000,Smart Watches,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/MKN63_VW_34FR+watch-44-alum-silver-nc-se_VW_34FR_WF_CO_GEO_IN?wid=940&hei=1112&fmt=png-alpha&.v=1660757818936
Apple MacBook Pro,16-inch, powerful laptop,8,220000,Laptops,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/mbp16-spacegray-select-202110?wid=904&hei=840&fmt=jpeg&qlt=80&.v=1632948875000
Sony PlayStation 5,Next-gen gaming console,15,49999,Video Games,https://cdn.pastemagazine.com/www/articles/ps5_console_blue-red_white_black.jpg
Xbox Series X,Microsoft gaming console,15,49999,Video Games,https://compass-ssl.xbox.com/assets/08/6a/086a7935-f8a1-4875-93f8-c8b0f78760fe.png?n=Xbox-Series-X_Console-0_Hero-1084_1920x1080.jpg
Lego Star Wars,Building sets for kids,50,5500,Toys,https://images-na.ssl-images-amazon.com/images/I/81O%2BGCkIwWL._AC_SL1500_.jpg
Barbie Dreamhouse,Toy dollhouse set,20,7500,Toys,https://cdn.shopify.com/s/files/1/1114/1714/products/1_2f89a332-2195-4889-b135-6beb01baf037_900x.jpg
KitchenAid Mixer,Stand mixer,12,28000,Kitchen Appliances,https://cdn.kitchenaid.co.in/images/mixer-hero-1920x1080.png
Goodyear Tires,Set of 4 all-season tires,16,24000,Automotive,https://cdn.goodyear.com/en-IN/consumer/images/bike/tire_all_season.jpg
PetSafe Dog Crate,Metal dog crate,30,7000,Pet Supplies,https://images.petsafe.net/Products/dogfullycrate_lrg.png
Philips Sonicare Toothbrush,Electric toothbrush,40,4500,Health & Beauty,https://images.philips.com/is/image/PhilipsConsumer/SonicareProtectiveClean2SeriesHX6877_02-product-zoom?wid=550&hei=550&$jpglarge$
Breville Coffee Maker,Espresso machine,10,36000,Kitchen Appliances,https://www.breville.com/content/dam/breville/global/product/bevcm800bss/bevcm800bss_hero.png
Apple AirPods Pro,Wireless earbuds,25,22000,Headphones,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/MME73?wid=940&hei=1112&fmt=png-alpha&.v=1591634795000
Samsung SmartFridge,Connected refrigerator,7,180000,Kitchen Appliances,https://images.samsung.com/is/image/samsung/in-smart-refrigerator-rt60k7048s9-tl-frontsilver-530163143?$720_576_PNG$
